task_id,skill_id,base_no_skill,base_with_skill,grpo_with_skill,skill_lift,grpo_lift_over_base_skill
adaptive-hint-sequence-designer__01,adaptive-hint-sequence-designer,0.4,0.8333,1.0,0.4333,0.16669999999999996
adaptive-hint-sequence-designer__02,adaptive-hint-sequence-designer,0.6,1.0,1.0,0.4,0.0
adaptive-hint-sequence-designer__03,adaptive-hint-sequence-designer,0.4,1.0,1.0,0.6,0.0
backwards-design-unit-planner__01,backwards-design-unit-planner,0.6,1.0,1.0,0.4,0.0
backwards-design-unit-planner__02,backwards-design-unit-planner,0.8,1.0,1.0,0.19999999999999996,0.0
backwards-design-unit-planner__03,backwards-design-unit-planner,0.8,1.0,1.0,0.19999999999999996,0.0
differentiation-adapter__01,differentiation-adapter,0.8,1.0,0.8,0.19999999999999996,-0.19999999999999996
differentiation-adapter__02,differentiation-adapter,1.0,1.0,1.0,0.0,0.0
differentiation-adapter__03,differentiation-adapter,0.2,1.0,1.0,0.8,0.0
emergent-project-design-scaffold__01,emergent-project-design-scaffold,0.71,1.0,1.0,0.29000000000000004,0.0
emergent-project-design-scaffold__02,emergent-project-design-scaffold,0.86,1.0,1.0,0.14,0.0
emergent-project-design-scaffold__03,emergent-project-design-scaffold,0.5556,1.0,1.0,0.4444,0.0
hinge-question-designer__01,hinge-question-designer,0.8,1.0,1.0,0.19999999999999996,0.0
hinge-question-designer__02,hinge-question-designer,0.0,0.2,0.0,0.2,-0.2
hinge-question-designer__03,hinge-question-designer,1.0,1.0,1.0,0.0,0.0
lesson-builder__01,lesson-builder,0.8,1.0,0.8,0.19999999999999996,-0.19999999999999996
lesson-builder__02,lesson-builder,0.4,0.4,0.8,0.0,0.4
lesson-builder__03,lesson-builder,0.4,0.6,0.8,0.19999999999999996,0.20000000000000007
motivation-diagnostic-task-redesign__01,motivation-diagnostic-task-redesign,0.8,1.0,1.0,0.19999999999999996,0.0
motivation-diagnostic-task-redesign__02,motivation-diagnostic-task-redesign,0.8,1.0,1.0,0.19999999999999996,0.0
motivation-diagnostic-task-redesign__03,motivation-diagnostic-task-redesign,0.8,0.8,1.0,0.0,0.19999999999999996
project-brief-designer__01,project-brief-designer,0.6,1.0,1.0,0.4,0.0
project-brief-designer__02,project-brief-designer,0.8,1.0,1.0,0.19999999999999996,0.0
project-brief-designer__03,project-brief-designer,0.8,1.0,1.0,0.19999999999999996,0.0
retrieval-practice-generator__01,retrieval-practice-generator,0.6,1.0,1.0,0.4,0.0
retrieval-practice-generator__02,retrieval-practice-generator,0.67,1.0,1.0,0.32999999999999996,0.0
retrieval-practice-generator__03,retrieval-practice-generator,0.6,0.6,1.0,0.0,0.4
ruler-emotional-literacy-sequence__01,ruler-emotional-literacy-sequence,0.8,0.8,1.0,0.0,0.19999999999999996
ruler-emotional-literacy-sequence__02,ruler-emotional-literacy-sequence,0.8,0.8,0.8,0.0,0.0
ruler-emotional-literacy-sequence__03,ruler-emotional-literacy-sequence,0.8,0.8,0.8,0.0,0.0
self-efficacy-builder-sequence__01,self-efficacy-builder-sequence,0.5,1.0,1.0,0.5,0.0
self-efficacy-builder-sequence__02,self-efficacy-builder-sequence,0.5,1.0,0.83,0.5,-0.17000000000000004
self-efficacy-builder-sequence__03,self-efficacy-builder-sequence,0.83,0.83,1.0,0.0,0.17000000000000004
self-explanation-prompt-designer__01,self-explanation-prompt-designer,0.8,1.0,1.0,0.19999999999999996,0.0
self-explanation-prompt-designer__02,self-explanation-prompt-designer,0.8,1.0,1.0,0.19999999999999996,0.0
self-explanation-prompt-designer__03,self-explanation-prompt-designer,1.0,1.0,1.0,0.0,0.0
socratic-questioning-sequence-generator__01,socratic-questioning-sequence-generator,0.2,1.0,1.0,0.8,0.0
socratic-questioning-sequence-generator__02,socratic-questioning-sequence-generator,0.2,1.0,1.0,0.8,0.0
socratic-questioning-sequence-generator__03,socratic-questioning-sequence-generator,0.2,1.0,1.0,0.8,0.0
spaced-practice-scheduler__01,spaced-practice-scheduler,0.6,0.8,1.0,0.20000000000000007,0.19999999999999996
spaced-practice-scheduler__02,spaced-practice-scheduler,1.0,0.8,0.8,-0.19999999999999996,0.0
spaced-practice-scheduler__03,spaced-practice-scheduler,0.4,0.8,1.0,0.4,0.19999999999999996
